 2015-10-27 00:08:52,480 [P3848/D2/T69] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Homepage' with Id '1073' has been published.
 2015-10-27 00:08:54,559 [P3848/D2/T92] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:08:54,559 [P3848/D2/T92] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:08:56,524 [P3848/D2/T69] INFO  umbraco.content - Save Xml to file...
 2015-10-27 00:08:56,553 [P3848/D2/T136] INFO  umbraco.content - Saved Xml to file.
 2015-10-27 00:20:36,260 [P3848/D2/T7] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:20:36,260 [P3848/D2/T7] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:22:03,261 [P3848/D2/T111] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'About us' with Id '1077' has been published.
 2015-10-27 00:22:05,520 [P3848/D2/T105] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:22:05,520 [P3848/D2/T105] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:22:07,325 [P3848/D2/T124] INFO  umbraco.content - Save Xml to file...
 2015-10-27 00:22:07,348 [P3848/D2/T105] INFO  umbraco.content - Saved Xml to file.
 2015-10-27 00:23:41,482 [P3848/D2/T59] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Homepage' with Id '1073' has been published.
 2015-10-27 00:23:43,081 [P3848/D2/T68] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:23:43,082 [P3848/D2/T68] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:23:45,521 [P3848/D2/T124] INFO  umbraco.content - Save Xml to file...
 2015-10-27 00:23:45,571 [P3848/D2/T74] INFO  umbraco.content - Saved Xml to file.
 2015-10-27 00:24:13,782 [P3848/D2/T124] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'About us' with Id '1077' has been published.
 2015-10-27 00:24:17,827 [P3848/D2/T79] INFO  umbraco.content - Save Xml to file...
 2015-10-27 00:24:17,833 [P3848/D2/T59] INFO  umbraco.content - Saved Xml to file.
 2015-10-27 00:24:24,000 [P3848/D2/T105] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:24:24,000 [P3848/D2/T105] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:25:07,420 [P3848/D2/T95] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2015-10-27 00:25:07,420 [P3848/D2/T95] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2015-10-27 00:29:50,000 [P14664/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on DESKTOP-8ORENKO
 2015-10-27 00:29:50,044 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-10-27 00:29:50,053 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2015-10-27 00:29:50,157 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-10-27 00:29:50,208 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 50ms)
 2015-10-27 00:29:50,254 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-10-27 00:29:50,254 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2015-10-27 00:29:50,255 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-10-27 00:29:50,256 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2015-10-27 00:29:50,268 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-10-27 00:29:50,277 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
 2015-10-27 00:29:50,278 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-10-27 00:29:50,280 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 2ms)
 2015-10-27 00:29:50,340 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-10-27 00:29:50,341 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2015-10-27 00:29:50,341 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-10-27 00:29:50,342 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2015-10-27 00:29:50,912 [P14664/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-27 00:29:51,142 [P14664/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-27 00:29:51,174 [P14664/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-10-27 00:29:51,209 [P14664/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2015-10-27 00:29:51,255 [P14664/D2/T1] INFO  umbraco.content - Load Xml from file...
 2015-10-27 00:29:51,258 [P14664/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2015-10-27 00:29:51,283 [P14664/D2/T1] INFO  umbraco.content - Loading content from database...
 2015-10-27 00:29:52,796 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2015-10-27 00:29:52,798 [P14664/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2015-10-27 00:29:52,864 [P14664/D2/T7] INFO  UmbracoExamine.DataServices.UmbracoLogService - Field "email" is listed multiple times in the index set "InternalMemberIndexSet". Please ensure all names are unique, Provider=InternalMemberIndexer, NodeId=1090
 2015-10-27 00:29:52,923 [P14664/D2/T7] INFO  UmbracoExamine.DataServices.UmbracoLogService - Field "email" is listed multiple times in the index set "InternalMemberIndexSet". Please ensure all names are unique, Provider=InternalMemberIndexer, NodeId=1089
 2015-10-27 00:29:52,924 [P14664/D2/T7] INFO  UmbracoExamine.DataServices.UmbracoLogService - Field "email" is listed multiple times in the index set "InternalMemberIndexSet". Please ensure all names are unique, Provider=InternalMemberIndexer, NodeId=1088
 2015-10-27 00:29:53,482 [P14664/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
